id,category,garhwali,hindi,english
3074,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3075,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
3076,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3077,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3078,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3079,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3080,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3081,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3082,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3083,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3084,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3085,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3086,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3087,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3088,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3089,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3090,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3091,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3092,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3093,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3094,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3095,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3096,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3097,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3098,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3099,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3100,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3101,greetings,जै हो!,जय हो!,Greetings!
3102,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3103,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3104,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3105,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3106,greetings,जै हो!,जय हो!,Greetings!
3107,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3108,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3109,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3110,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3111,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
3112,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3113,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3114,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3115,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3116,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3117,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3118,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3119,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3120,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3121,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3122,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3123,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3124,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
3125,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3126,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3127,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3128,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3129,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3130,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3131,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3132,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3133,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3134,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3135,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3136,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3137,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3138,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3139,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
3140,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3141,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3142,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3143,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3144,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3145,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3146,greetings,जै हो!,जय हो!,Greetings!
3147,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3148,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3149,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
3150,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3151,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3152,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3153,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3154,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3155,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3156,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3157,greetings,जै हो!,जय हो!,Greetings!
3158,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
3159,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3160,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3161,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3162,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3163,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3164,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3165,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3166,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3167,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3168,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3169,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3170,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3171,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3172,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3173,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
3174,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3175,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3176,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3177,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3178,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3179,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3180,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3181,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3182,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3183,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3184,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3185,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
3186,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3187,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
3188,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
3189,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3190,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
3191,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3192,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
3193,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3194,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3195,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3196,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3197,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3198,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3199,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3200,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3201,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3202,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3203,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
3204,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
3205,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3206,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3207,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3208,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3209,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3210,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3211,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3212,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3213,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3214,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3215,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3216,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
3217,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
3218,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3219,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3220,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3221,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
3222,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3223,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3224,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3225,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3226,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3227,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3228,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3229,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3230,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3231,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3232,greetings,जै हो!,जय हो!,Greetings!
3233,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3234,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3235,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3236,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3237,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3238,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3239,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3240,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3241,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
3242,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3243,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3244,greetings,जै हो!,जय हो!,Greetings!
3245,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3246,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3247,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
3248,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3249,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3250,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3251,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
3252,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3253,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3254,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3255,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3256,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3257,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
3258,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3259,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3260,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3261,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3262,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3263,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3264,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
3265,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3266,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3267,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3268,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3269,greetings,जै हो!,जय हो!,Greetings!
3270,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3271,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3272,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3273,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
3274,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3275,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3276,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3277,greetings,जै हो!,जय हो!,Greetings!
3278,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3279,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3280,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3281,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3282,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3283,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
3284,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3285,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3286,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3287,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3288,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3289,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3290,greetings,जै हो!,जय हो!,Greetings!
3291,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3292,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
3293,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
3294,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3295,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3296,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3297,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
3298,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3299,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3300,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3301,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3302,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3303,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3304,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
3305,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3306,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3307,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3308,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3309,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3310,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
3311,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3312,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3313,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3314,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3315,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3316,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3317,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3318,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3319,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3320,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3321,greetings,जै हो!,जय हो!,Greetings!
3322,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
3323,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3324,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3325,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
3326,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3327,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3328,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3329,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3330,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
3331,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3332,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3333,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
3334,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3335,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
3336,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3337,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
3338,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
3339,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3340,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
3341,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3342,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3343,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3344,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
3345,greetings,जै हो!,जय हो!,Greetings!
3346,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3347,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3348,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3349,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3350,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
3351,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
3352,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3353,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3354,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3355,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3356,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3357,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3358,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
3359,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3360,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3361,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
3362,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3363,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3364,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3365,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
3366,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3367,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
3368,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3369,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
3370,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3371,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3372,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3373,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3374,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
3375,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
3376,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
3377,food,चाय बनाई दे।,चाय बना दो।,Make tea.
3378,greetings,जै हो!,जय हो!,Greetings!
3379,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
3380,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
3381,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
3382,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
3383,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
3384,home,भात बणाई दे।,भात बना दो।,Cook the rice.
3385,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
3386,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
3387,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
3388,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
3389,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
3390,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3391,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3392,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
3393,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
3394,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3395,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
3396,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
3397,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
3398,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
3399,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
3400,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
3401,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
3402,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
3403,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
3404,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
